timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
111237745,0,0,1,0,0,0,0,0
111743834,0,0,1,0,0,0,0,0
112243854,0,0,1,0,0,0,0,0
112745801,0,0,1,0,0,0,0,0
113247736,0,0,1,0,0,0,0,0
113748760,0,0,1,0,0,0,0,0
114251879,0,0,1,0,0,0,0,0
114761921,0,0,1,0,0,0,0,0
115263915,0,0,1,0,0,0,0,0
115771405,0,0,1,0,0,0,0,0
116271857,0,0,1,0,0,0,0,0
116772781,0,0,1,0,0,0,0,0
117275798,0,0,1,0,0,0,0,0
117782926,0,0,1,0,0,0,0,0
118288739,0,0,1,0,0,0,0,0
118789709,0,0,1,0,0,0,0,0
119292771,0,0,1,0,0,0,0,0
119803112,0,0,1,0,0,0,0,0
120305710,0,0,1,0,0,0,0,0
120810830,0,0,1,0,0,0,0,0
121319766,0,0,1,0,0,0,0,0
121830903,0,0,1,0,0,0,0,0
122339831,0,0,1,0,0,0,0,0
122842705,0,0,1,0,0,0,0,0
123346824,0,0,1,0,0,0,0,0
123849898,0,0,1,0,0,0,0,0
124354706,0,0,1,0,0,0,0,0
124856456,0,0,1,0,0,0,0,0
125357718,0,0,1,0,0,0,0,0
125866705,0,0,1,0,0,0,0,0
126376748,0,0,1,0,0,0,0,0
126884736,0,0,1,0,0,0,0,0
127386834,0,0,1,0,0,0,0,0
127889792,0,0,1,0,0,0,0,0
128392710,0,0,1,0,0,0,0,0
128895166,0,0,1,0,0,0,0,0
129404742,0,0,1,0,0,0,0,0
129905333,0,0,1,0,0,0,0,0
130407955,0,0,1,0,0,0,0,0
130915925,0,0,1,0,0,0,0,0
131418706,0,0,1,0,0,0,0,0
131924757,0,0,1,0,0,0,0,0
132428744,0,0,1,0,0,0,0,0
132931713,0,0,1,0,0,0,0,0
133435770,0,0,1,0,0,0,0,0
133935978,0,0,1,0,0,0,0,0
134444567,0,0,1,0,0,0,0,0
134945448,0,0,1,0,0,0,0,0
135446704,0,0,1,0,0,0,0,0
135950735,0,0,1,0,0,0,0,0
136460705,0,0,1,0,0,0,0,0
136962961,0,0,1,0,0,0,0,0
137465771,0,0,1,0,0,0,0,0
137968708,0,0,1,0,0,0,0,0
138468828,0,0,1,0,0,0,0,0
138969742,0,0,1,0,0,0,0,0
139288013,1,0,1,0,0,0,0,0
139298893,1,0,1,0,0,0,0,0
139803582,1,0,1,0,0,0,0,0
140312775,1,0,1,0,0,0,0,0
140813845,1,0,1,0,0,0,0,0
141316902,1,0,1,0,0,0,0,0
141793877,1,0,1,0,0,0,0,0
142303571,1,0,1,0,0,0,0,0
142811998,1,0,1,0,0,0,0,0
143313925,1,0,1,0,0,0,0,0
143823854,1,0,1,0,0,0,0,0
144324713,1,0,1,0,0,0,0,0
144835053,1,0,1,0,0,0,0,0
145344740,1,0,1,0,0,0,0,0
145846765,1,0,1,0,0,0,0,0
146348869,1,0,1,0,0,0,0,0
146849132,1,0,1,0,0,0,0,0
147349841,1,0,1,0,0,0,0,0
147855741,1,0,1,0,0,0,0,0
148356878,1,0,1,0,0,0,0,0
148860249,1,0,1,0,0,0,0,0
149361774,1,0,1,0,0,0,0,0
149862752,1,0,1,0,0,0,0,0
150366770,1,0,1,0,0,0,0,0
150871761,1,0,1,0,0,0,0,0
151375705,1,0,1,0,0,0,0,0
151875728,1,0,1,0,0,0,0,0
152375789,1,0,1,0,0,0,0,0
152885885,1,0,1,0,0,0,0,0
153387946,1,0,1,0,0,0,0,0
153893850,1,0,1,0,0,0,0,0
154402924,1,0,1,0,0,0,0,0
154913194,1,0,1,0,0,0,0,0
155420737,1,0,1,0,0,0,0,0
155922412,1,0,1,0,0,0,0,0
156424708,1,0,1,0,0,0,0,0
156925990,1,0,1,0,0,0,0,0
157436711,1,0,1,0,0,0,0,0
157937955,1,0,1,0,0,0,0,0
158444076,1,0,1,0,0,0,0,0
158946973,1,0,1,0,0,0,0,0
159447792,1,0,1,0,0,0,0,0
159951316,1,0,1,0,0,0,0,0
160454445,1,0,1,0,0,0,0,0
160957708,1,0,1,0,0,0,0,0
161461747,1,0,1,0,0,0,0,0
161968833,1,0,1,0,0,0,0,0
162477774,1,0,1,0,0,0,0,0
162987787,1,0,1,0,0,0,0,0
163488705,1,0,1,0,0,0,0,0
163993165,1,0,1,0,0,0,0,0
164496744,1,0,1,0,0,0,0,0
165004059,1,0,1,0,0,0,0,0
165513852,1,0,1,0,0,0,0,0
166013825,1,0,1,0,0,0,0,0
166518780,1,0,1,0,0,0,0,0
167021977,1,0,1,0,0,0,0,0
167530410,1,0,1,0,0,0,0,0
168039775,1,0,1,0,0,0,0,0
168542892,1,0,1,0,0,0,0,0
169045040,1,0,1,0,0,0,0,0
169546766,1,0,1,0,0,0,0,0
170055950,1,0,1,0,0,0,0,0
170565707,1,0,1,0,0,0,0,0
171065753,1,0,1,0,0,0,0,0
171123291,1,0,1,0,0,0,0,0
171626743,1,0,1,0,0,0,0,0
172096951,1,0,1,0,0,0,0,0
172602763,1,0,1,0,0,0,0,0
173106838,1,0,1,0,0,0,0,0
173610197,1,0,1,0,0,0,0,0
174112769,1,0,1,0,0,0,0,0
174618705,1,0,1,0,0,0,0,0
175128747,1,0,1,0,0,0,0,0
175640901,1,0,1,0,0,0,0,0
176152125,0,0,1,0,0,0,0,0
176177523,0,0,1,0,0,0,0,0
176681746,0,0,1,0,0,0,0,0
177185538,0,0,1,0,0,0,0,0
177685784,0,0,1,0,0,0,0,0
178195706,0,0,1,0,0,0,0,0
178698348,0,0,1,0,0,0,0,0
179199085,0,0,1,0,0,0,0,0
179709766,0,0,1,0,0,0,0,0
180220003,0,0,1,0,0,0,0,0
180729741,0,0,1,0,0,0,0,0
181236131,0,0,1,0,0,0,0,0
181743485,0,0,1,0,0,0,0,0
181999876,0,0,1,0,0,0,0,0
182508827,0,0,1,0,0,0,0,0
